,Danceability,Energy,Valence,Tempo,Song ID,Date Added
175,0.689,0.678,0.335,145.883,0yB4jrSwN0bFtFRDR5vyMj,2019-10-23
176,0.549,0.807,0.689,95.98,0FDtfURDoNGv0sjNnvscPR,2019-10-17
177,0.765,0.285,0.462,129.015,7s7J0m9T0JdkGCIjPql7CM,2019-10-13
178,0.395,0.392,0.103,155.856,432hUIl3ISDeytYW5XBQ5h,2019-10-13
179,0.635,0.903,0.832,127.932,5fGetQ648kPpQo4hzw7Uxw,2019-10-05
180,0.674,0.589,0.577,83.985,0WSTInLqMrT9po0LAHpZCJ,2019-10-05
181,0.42,0.843,0.491,173.827,0OGNtqKkjI7FCE9HZ4Khgo,2019-10-03
182,0.786,0.808,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK,2019-10-03
183,0.854,0.554,0.272,142.069,4B7fTyj1FIPvP9tT5X3DnR,2019-10-03
184,0.747,0.769,0.729,143.037,6fkdKC64M7sVKLHo0pLTmg,2019-10-03
185,0.782,0.609,0.326,138.978,5THenX6H5EwwO0IGpg2oth,2019-10-03
186,0.896,0.577,0.655,146.002,6j2FgXypHJLzTJcDvT2Uyf,2019-10-02
187,0.666,0.854,0.748,136.954,48gBfTRel9fajeev7tmLpo,2019-10-01
188,0.591,0.889,0.65,143.067,4NTWZqvfQTlOMitlVn6tew,2019-09-29
189,0.843,0.391,0.496,129.972,51Fjme0JiitpyXKuyQiCDo,2019-09-23
190,0.399,0.307,0.294,64.36,1ssAaPK0JQPjcnpkztevTR,2019-09-21
191,0.787,0.713,0.761,175.046,4sWuPniHClkInYAnzXAYUF,2019-09-19
192,0.74,0.498,0.652,98.016,7LzouaWGFCy4tkXDOOnEyM,2019-09-17
193,0.495,0.811,0.241,139.925,44pxxRrhiDGuHYP5HjadGF,2019-09-07
194,0.574,0.913,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,2019-09-07
195,0.847,0.678,0.811,97.984,5dW1VZPcFqB4n0P08rGDgm,2019-09-07
196,0.451,0.772,0.442,92.003,7uEB85mtB2Vr28tdNIbHOj,2019-09-05
197,0.35,0.845,0.45,99.643,6BdgtqiV3oXNqBikezwdvC,2019-08-28
198,0.772,0.639,0.261,168.112,6uFn47ACjqYkc0jADwEdj1,2019-08-27
199,0.765,0.906,0.95,96.071,0U6bQIAh6MCGo1xjbIIx2S,2019-08-26
200,0.687,0.865,0.601,94.01,1KTu92zFjElqc3h20XCwE3,2019-08-20
201,0.688,0.915,0.684,114.992,72bEWSaxvAnkuxxwDbGmjP,2019-08-19
